"","To 1","To 2","To 3","To 4","To 5","To 6","To 7","To 8","To 9","To 10","To 11","To 12","To 13","To 14","To 15","To 16","To 17","To 18","To 19","To 20","To 21","To 22","To 23"
"From 1",NA,50,1500,1700,1575,1800,2800,3350,3300,6675,7020,5650,6250,19060,26520,32400,32925,22660,50000,50000,50000,50000,50000
"From 2",50,NA,2200,1200,2625,2850,3300,3850,3800,7650,7995,6150,6750,19780,27495,33450,33975,23380,50000,50000,50000,50000,50000
"From 3",3750,5500,NA,3450,1800,1650,1200,1700,1600,4650,4875,6000,6900,17765,16250,30300,30825,21365,36450,24005,50000,50000,50000
"From 4",1700,1200,1725,NA,580,1100,4800,4950,3675,7875,7725,9562.5,10087.5,27750,27225,22123.5,22473.5,33150,50000,37110,50000,50000,50000
"From 5",2100,5250,900,580,NA,50,2850,3000,3450,7050,6900,7725,8250,27975,26400,21585,21935,33375,50000,37335,50000,50000,50000
"From 6",2400,5700,825,1100,50,NA,3075,3225,3675,6900,6750,8100,8625,28050,26250,21630,21980,33450,50000,37410,50000,50000,50000
"From 7",7000,8250,3000,9600,5700,6150,NA,110,150,1725,1950,2600,3180,15950,21450,27435,27960,19550,33712.5,22190,50000,50000,50000
"From 8",8375,9625,4250,9900,6000,6450,110,NA,100,1950,2175,2500,3080,16050,21675,18345,18695,19650,33750,22290,50000,50000,50000
"From 9",8250,9500,4000,9000,6900,7350,150,100,NA,1950,2175,2450,3030,16000,21675,18345,18695,19600,33750,22240,50000,50000,50000
"From 10",13350,15300,9300,15750,14100,13800,3450,3900,3900,NA,130,1575,1650,22012.5,13065,16945,17295,27412.5,31942.5,31372.5,50000,50000,50000
"From 11",14040,15990,9750,15450,13800,13500,3900,4350,4350,130,NA,787.5,1275,21000,13000,16295,16645,26400,30930,30360,37125,50000,50000
"From 12",14125,15375,12000,19125,15450,16200,6500,6250,6125,3150,1575,NA,700,13150,18375,23250,23775,16750,29655,19390,36150,36510,36600
"From 13",15625,16875,13800,20175,16500,17250,7950,7700,7575,3300,2550,700,NA,12625,17325,22312.5,22837.5,16225,28867.5,18865,35400,35760,35850
"From 14",47650,49450,44412.5,50000,50000,50000,39875,40125,40000,44025,42000,32875,31562.5,NA,2190,2977.5,3502.5,3570,9450,10552.5,11350,11560,11650
"From 15",50000,50000,40625,50000,50000,50000,42900,43350,43350,32662.5,32500,36750,34650,1095,NA,4200,4725,6652.5,6985,6150,18450,18765,18900
"From 16",50000,50000,50000,50000,50000,50000,50000,45862.5,45862.5,42362.5,40737.5,46500,44625,5955,8400,NA,140,2025,3875,5887.5,13702.5,14017.5,14152.5
"From 17",50000,50000,50000,50000,50000,50000,50000,46737.5,46737.5,43237.5,41612.5,47550,45675,7005,9450,140,NA,1380,3450,5250,13125,13440,13575
"From 18",50000,50000,50000,50000,50000,50000,48875,49125,49000,50000,50000,41875,40562.5,8925,13305,4050,2760,NA,1027.5,1852.5,6700,6910,7000
"From 19",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,18900,17462.5,9687.5,8625,2055,NA,680,3720,4050,4275
"From 20",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,48475,47162.5,21105,15375,11775,10500,3705,680,NA,4750,4950,5050
"From 21",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,28375,36900,27405,26250,16750,7440,11875,NA,420,600
"From 22",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,28900,37530,28035,26880,17275,8100,12375,420,NA,300
"From 23",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,29125,37800,28305,27150,17500,8550,12625,600,300,NA
