wetlandNumber,wetlandName,wetlandSize,sillHeight,wetlandVolume,stayWet
1,Banrock1,4,8.4,72708,1815.821
2,Banrock2,4,9,161391,1815.821
3,OC1US,4,8.532,244096,1393.845
4,OC1,4,8.668,61272,1496.658
5,OC2,4,8.6,97380,1496.658
6,Reach1,4,8.6,20186,1496.658
7,Wigley1,4,8.668,157362,1393.845
8,Wigley2,3,9.617,24013,1786.573
9,Wigley3,4,9.806,106054,1815.821
10,OldParcoola1,4,8.671,99772,1496.658
11,OldParcoola2,3,7.6,161028,1285.862
12,Akuna1,4,6.8,11610,1141.628
13,Akuna2,4,8.532,30033,1815.821
14,DS Maize,4,7,118576,1169.636
15,Maize,2,6.299,4582,1141.628
16,Jaeschke1,4,7.5,130035,1285.862
17,Jaeschke2,3,6.4,161759,1145.295
18,Hart Lagoon,4,6.4,389081,1145.295
19,Ramco,4,6.307,553871,1144.013
20,North Ramco,4,6.4,559766,1145.295
21,Schillers1,2,7.51,82952,1558.08
22,Schillers2,3,6.985,91073,1145.295
23,Schillers3,4,6.985,184943,1145.295
