"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87"
"result.1",2.051594429,7.840659346,-5.324582863,-1.635206211,-6.576156114,7.530882271,-6.310246223,-6.786784902,5.146646484,-2.879994367,9.639722551,-6.004888211,-8.05479507,-2.354858671,0.771599412,-3.76423311,98,98,70,24,19,22,24,10,10,1,4,7,6,6,0,0,0,0,0,0,0,0,0,399,0,0,0,581,456,0,550,632,655,0,273,0,593,424,20,0,0,0,0,0,0,0,0,383,50,42,71,18,52,0,290,226,0,350,361,96,7,389,1,22,0,0,0,1433,0,13,7988
"result.2",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.087622721,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,73,26,20,22,22,11,9,1,6,8,6,6,0,0,0,0,0,0,0,0,0,406,0,0,0,564,454,0,548,478,644,0,290,0,603,427,18,0,0,0,0,0,0,0,0,393,62,70,136,22,36,0,641,245,2,290,407,54,7,435,1,32,0,0,0,1117,12,0,7988
"result.3",1.734929173,8.15138245,-4.796476839,-1.635206211,-6.871744432,9.971371812,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-7.214750969,0.889123258,-5.206070766,98,98,69,25,21,22,25,10,10,1,4,6,6,6,0,0,0,0,0,0,0,0,0,401,0,0,0,584,466,0,558,632,658,0,237,0,603,429,17,0,0,0,0,0,0,0,0,382,50,42,66,16,50,0,287,217,0,450,303,88,4,345,1,4,0,0,0,1471,28,0,7988
"result.4",2.184157778,8.15138245,-5.324582863,-6.617986076,-6.84449811,-7.941160879,-5.061091259,-6.786784902,4.380689119,-1.197446351,9.639722551,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,74,25,22,22,19,10,8,1,7,10,5,6,0,1,0,0,0,0,0,0,0,406,0,0,0,513,474,0,570,531,607,0,274,0,581,426,82,0,0,0,0,0,0,0,0,599,156,124,292,53,50,0,533,344,9,412,659,137,93,379,1,71,0,0,0,9,9,0,7988
"result.5",2.184157778,8.15138245,-5.324582863,-6.617986076,-6.84449811,-8.25736057,-5.061091259,-6.786784902,4.380689119,-1.197446351,9.639722551,-5.648902291,-8.05479507,-7.214750969,-8.11049934,-5.206070766,98,98,72,24,18,21,25,10,9,1,4,7,5,6,0,0,0,0,0,0,0,0,0,398,0,0,0,578,467,0,571,606,666,0,260,0,548,398,76,0,0,0,0,0,0,0,0,645,140,128,143,63,48,0,367,233,0,445,674,237,170,406,1,72,0,0,0,10,26,10,7988
"result.6",1.734929173,8.15138245,-5.324582863,-0.622786073,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-4.989907752,-8.05479507,-7.214750969,0.297693261,-7.375610372,98,98,72,26,21,21,25,11,8,1,5,7,6,6,0,0,0,0,0,0,0,0,0,405,0,0,0,588,458,0,554,628,673,0,275,0,599,428,16,0,0,0,0,0,0,0,0,424,67,73,60,11,46,0,288,129,0,360,401,38,3,370,1,13,0,0,0,1458,27,0,7988
"result.7",2.184157778,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.091834183,-3.396179384,-6.786784902,4.380689119,-1.197446351,9.639722551,-5.648902291,-8.05479507,-2.354858671,2.217766061,-3.714783429,98,98,71,24,19,23,24,12,10,1,4,6,6,6,0,0,0,0,0,0,0,0,0,402,0,0,0,581,477,0,561,451,666,0,219,0,597,418,17,0,0,0,0,0,0,0,0,286,42,45,51,7,17,0,722,198,2,433,158,92,154,269,1,2,0,0,0,1504,18,0,7988
"result.8",1.734929173,8.15138245,-5.324582863,-6.617986076,-6.84449811,-8.25736057,-5.061091259,-6.786784902,4.380689119,-1.197446351,9.639722551,-5.648902291,-8.05479507,-2.354858671,2.217766061,-6.630423507,98,98,73,25,19,21,25,10,9,1,4,8,5,6,0,0,0,0,0,0,0,0,0,402,0,0,0,581,469,0,567,639,685,0,258,0,563,398,43,0,0,0,0,0,0,0,0,631,140,118,155,61,54,0,296,203,0,481,664,200,149,511,1,84,0,0,0,10,18,9,7988
"result.9",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.786784902,4.076300147,-2.879994367,9.639722551,-5.648902291,-8.05479507,-2.354858671,-8.11049934,2.17988953,98,98,72,26,20,22,22,11,9,1,6,7,6,6,0,0,0,0,0,0,0,0,0,404,0,0,0,564,453,0,548,478,645,0,290,0,603,428,18,0,0,0,0,0,0,0,0,392,62,70,136,23,36,0,641,243,2,292,405,54,7,436,1,32,0,0,0,1117,12,0,7988
"result.10",1.734929173,8.15138245,-5.324582863,-1.635206211,-6.871744432,8.976321192,-3.396179384,-6.786784902,5.825733572,-2.879994367,9.639722551,-5.648902291,-8.05479507,-7.214750969,0.297693261,-5.206070766,98,98,71,26,21,22,25,10,9,1,5,7,6,6,0,0,0,0,0,0,0,0,0,405,0,0,0,588,458,0,549,637,671,0,276,0,608,425,19,0,0,0,0,0,0,0,0,407,51,48,54,13,35,0,279,189,0,352,355,81,22,354,1,12,0,0,0,1480,24,0,7988
